Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3749.0,2.03375,1.10501,1.10065,1.10581,1.07172,1.0957975
3750.0,2.13593,1.10276,1.10458,1.10901,1.07145,1.09695
3751.0,1.78252,1.12116,1.1286,1.13124,1.09596,1.11924
3752.0,1.45854,1.15479,1.16616,1.16669,1.13716,1.1562
3753.0,1.18566,1.19262,1.20609,1.20504,1.1805,1.1960625
3754.0,1.18622,1.2237,1.23773,1.23597,1.21386,1.227815
3755.0,1.24799,1.24135,1.25431,1.25281,1.23102,1.2448725
3756.0,1.11137,1.24425,1.25441,1.25407,1.23058,1.2458275
3757.0,1.1174,1.2358,1.2427,1.24386,1.21628,1.23466
3758.0,1.29437,1.22331,1.22801,1.23021,1.19796,1.2198725
3759.0,1.2786,1.21555,1.21927,1.22161,1.18753,1.21099
3760.0,1.09895,1.21763,1.22103,1.22236,1.19117,1.2130475
3761.0,1.34233,1.22781,1.23033,1.23041,1.205,1.2233875
3762.0,1.33902,1.23974,1.24022,1.24002,1.21916,1.234785
3763.0,1.18544,1.24705,1.24515,1.24543,1.22616,1.2409475
3764.0,1.26489,1.24635,1.24261,1.24393,1.2243,1.2392975000000002
3765.0,1.29793,1.23754,1.23294,1.23544,1.21478,1.230175
3766.0,1.28188,1.22189,1.21778,1.22135,1.19881,1.2149575
3767.0,1.26649,1.20102,1.19953,1.20396,1.17812,1.1956575
3768.0,1.49899,1.17771,1.18126,1.18642,1.1557,1.1752725000000002
3769.0,1.90986,1.15685,1.1669,1.17274,1.13586,1.1580875
3770.0,2.22503,1.14473,1.16137,1.16741,1.12473,1.1495600000000001
3771.0,2.29529,1.14644,1.16829,1.1736,1.12866,1.1542474999999999
3772.0,1.57041,1.1632,1.18737,1.19151,1.14903,1.1727775
3773.0,1.33035,1.19129,1.21467,1.21769,1.17996,1.2009024999999998
3774.0,1.22838,1.22387,1.2447,1.24701,1.21308,1.232165
3775.0,1.31744,1.2551,1.27299,1.27527,1.24317,1.2616325000000002
3776.0,1.15836,1.28232,1.29772,1.30044,1.26875,1.2873075
3777.0,1.14141,1.30517,1.31899,1.32216,1.29008,1.3091
3778.0,1.29334,1.32412,1.33738,1.34086,1.30806,1.3276050000000001
3779.0,1.35266,1.33972,1.35317,1.35676,1.32355,1.3433
3780.0,1.30677,1.3521,1.36591,1.36955,1.33634,1.355975
