MEMORY MONTH DAY YEAR NAME FOLDER
4096 ago 23  2018 UGC03944  /data3/CALIFA.COMB
4096 ago 23  2018 UGC03960  /data3/CALIFA.COMB
4096 ago 23  2018 UGC03969  /data3/CALIFA.COMB
4096 mar 28  2020 UGC03973  /data3/CALIFA.COMB
12288 mar  4  2020 UGC03995  /data3/CALIFA.COMB
4096 ago 23  2018 UGC04029  /data3/CALIFA.COMB
4096 ago 23  2018 UGC04054  /data3/CALIFA.COMB
12288 may 29  2020 UGC04132  /data3/CALIFA.COMB
4096 ago 23  2018 UGC04136  /data3/CALIFA.COMB
4096 ago 23  2018 UGC04140  /data3/CALIFA.COMB
4096 abr 14  2020 UGC04145  /data3/CALIFA.COMB
4096 ago 23  2018 UGC04176  /data3/CALIFA.COMB
12288 ago  1  2022 UGC04176_abdias  /data3/CALIFA.COMB
4096 abr  3  2020 UGC04190  /data3/CALIFA.COMB
12288 abr  5  2020 UGC04195  /data3/CALIFA.COMB
12288 ago  2  2022 UGC04197  /data3/CALIFA.COMB
12288 ago  6  2022 UGC04210  /data3/CALIFA.COMB
4096 oct 18  2018 UGC04233  /data3/CALIFA.COMB
4096 abr  9  2020 UGC04240  /data3/CALIFA.COMB
4096 oct  8  2018 UGC04241  /data3/CALIFA.COMB
4096 ago  2  2022 UGC04245  /data3/CALIFA.COMB
4096 ago 23  2018 UGC04258  /data3/CALIFA.COMB
4096 ago  1  2022 UGC04262  /data3/CALIFA.COMB
4096 ago 23  2018 UGC04280  /data3/CALIFA.COMB
4096 ago 23  2018 UGC04308  /data3/CALIFA.COMB
4096 abr  7  2020 UGC04375  /data3/CALIFA.COMB
12288 ago  2  2022 UGC04425  /data3/CALIFA.COMB
4096 ago 23  2018 UGC04455  /data3/CALIFA.COMB
4096 ago 23  2018 UGC04461  /data3/CALIFA.COMB
12288 ago  2  2022 UGC04461_abdias  /data3/CALIFA.COMB
4096 abr 12  2020 UGC04468  /data3/CALIFA.COMB
4096 ago 23  2018 UGC04532  /data3/CALIFA.COMB
4096 oct  8  2018 UGC04546  /data3/CALIFA.COMB
4096 ago 23  2018 UGC04550  /data3/CALIFA.COMB
12288 ago  1  2022 UGC04550_abdias  /data3/CALIFA.COMB
12288 ago 23  2018 UGC04551  /data3/CALIFA.COMB
4096 ago 23  2018 UGC04659  /data3/CALIFA.COMB
4096 ago 23  2018 UGC04722  /data3/CALIFA.COMB
4096 ago 23  2018 UGC04730  /data3/CALIFA.COMB
12288 ago  5  2022 UGC05108  /data3/CALIFA.COMB
4096 ago 23  2018 UGC05111  /data3/CALIFA.COMB
4096 mar 29  2020 UGC05113  /data3/CALIFA.COMB
4096 ago 23  2018 UGC05187  /data3/CALIFA.COMB
12288 ago  4  2022 UGC05244  /data3/CALIFA.COMB
4096 ago 23  2018 UGC05326  /data3/CALIFA.COMB
4096 ago 23  2018 UGC05358  /data3/CALIFA.COMB
12288 ago  4  2022 UGC05359  /data3/CALIFA.COMB
4096 ago 23  2018 UGC05377  /data3/CALIFA.COMB
12288 ago  5  2022 UGC05396  /data3/CALIFA.COMB
4096 ago 23  2018 UGC05498NED01  /data3/CALIFA.COMB
12288 ago  5  2022 UGC05598  /data3/CALIFA.COMB
4096 abr  3  2020 UGC05771  /data3/CALIFA.COMB
4096 ago 23  2018 UGC05976  /data3/CALIFA.COMB
4096 sep 25  2018 UGC05990  /data3/CALIFA.COMB
4096 oct  8  2018 UGC06035  /data3/CALIFA.COMB
4096 mar 30  2020 UGC06036  /data3/CALIFA.COMB
4096 oct 18  2018 UGC06181  /data3/CALIFA.COMB
4096 oct  8  2018 UGC06249  /data3/CALIFA.COMB
